,Q1,Q2,EN,SN,FN,F,M,Q3,sim_status,final_neck_diameter,MAPE
91,1.244699314,0.914057833,0.295136105,0.199980579,0.049587765,0.001338177,635.5750939,1.549,failed,2.877025127,31.76288176
92,1.238577369,1.028743261,0.309265659,0.148464598,0.047397335,0.001359745,49.80602568,1.534,failed,3.181358278,40.74645781
93,1.003712765,0.91288654,0.39424794,0.194265906,0.077303137,0.001328898,973.5605833,1.007,failed,3.200253963,6.256879576
94,1.293921119,0.976190107,0.272804514,0.156373776,0.049727314,0.001448609,1062.157334,1.674,failed,3.255269408,6.490011089
95,1.271841243,0.973054182,0.377146533,0.17269316,0.08752629,0.001388207,537.3859067,1.617,failed,3.204926789,38.54822593
96,1.519583254,0.903268526,0.282203565,0.172049616,0.038001748,0.001305141,792.9982468,2.309,failed,3.636386424,35.46265615
97,0.986846954,0.929596264,0.287560732,0.199872956,0.03478976,0.001447742,785.9604269,0.973,failed,2.579796553,4.861583369
98,0.941209312,1.053210767,0.297043317,0.165360057,0.05904582,0.001462448,383.1187206,0.885,failed,3.000015914,36.6003517
99,1.134496213,1.08635185,0.346831076,0.136396035,0.055149995,0.001333621,47.08015459,1.287,failed,3.793491006,53.07237427
100,1.351549284,0.927156554,0.314360289,0.122170093,0.065101099,0.001327577,1020.71692,1.826,failed,3.121184587,5.736289411
101,1.147010739,1.035354698,0.32836698,0.181101174,0.071165546,0.001398665,127.9566429,1.315,failed,3.794096246,53.95093527
102,1.153148303,1.05147453,0.298611598,0.117173381,0.07438282,0.001307497,977.8235721,1.329,failed,3.63385582,17.10182709
103,1.125720407,1.012130718,0.378762964,0.169538321,0.072514153,0.001409109,287.6700879,1.267,failed,3.135375559,38.84578422
104,1.019076431,0.913859495,0.380123818,0.115054312,0.031670378,0.001357002,382.2318701,1.038,failed,2.640471935,30.64732566
105,1.137706695,1.024716492,0.289777701,0.104853011,0.043181713,0.001405416,955.5669905,1.294,failed,3.633020371,15.21087643
106,1.294109891,0.930135723,0.285937363,0.100888733,0.033323948,0.001352935,508.6186236,1.674,failed,3.78655611,52.66876668
107,1.39078427,0.92964276,0.34453213,0.132379093,0.057705656,0.001375141,712.52129,1.934,failed,3.082305014,30.08719991
108,1.466208346,1.067803132,0.373086492,0.169445532,0.048998671,0.001370346,67.94296865,2.149,failed,3.793264344,53.12751406
109,1.140153354,0.926494667,0.380731326,0.196802404,0.06549815,0.00136098,592.6535252,1.299,failed,2.941485524,32.39949569
110,1.432143245,0.902495214,0.320478992,0.132527437,0.078299845,0.001320874,848.6400658,2.051,failed,3.644976228,33.62262688
111,1.131729988,1.07739142,0.336981079,0.119294168,0.046495204,0.001392867,133.1282462,1.28,failed,3.10678643,38.66850281
112,1.074614991,0.989376689,0.306018767,0.193249574,0.052599455,0.001341698,1086.340562,1.154,failed,3.3345294,7.080537269
113,1.354292588,1.082033363,0.384681063,0.153876086,0.07400529,0.001443375,710.4277856,1.834,failed,3.233843863,32.23453995
114,1.187256921,0.906021614,0.281400794,0.100915631,0.074233446,0.001384208,763.5680948,1.409,failed,2.957227468,28.09335345
